,score
639,5196
640,5187
641,5185
642,5179
643,5182
644,5170
645,5178
646,5169
647,5161
648,5159
649,5152
650,5152
651,5148
652,5140
653,5144
654,5133
655,5122
656,5113
657,5118
658,5104
659,5099
660,5098
661,5097
662,5086
663,5089
664,5083
665,5075
666,5068
667,5063
668,5068
669,5064
670,5051
671,5035
672,5034
673,5030
674,5028
675,5029
676,5015
677,5022
678,5028
679,5010
680,5008
681,5005
682,5005
683,5002
684,4978
685,4968
686,4960
687,4964
688,4951
689,4949
690,4931
691,4920
692,4915
693,4920
694,4918
695,4914
696,4911
697,4909
698,4915
699,4912
700,4904
701,4896
702,4896
703,4895
704,4892
705,4886
706,4899
707,4888
708,4890
709,4889
710,4884
711,4874
712,4878
713,4876
714,4875
715,4869
716,4868
717,4873
718,4878
719,4872
720,4867
721,4866
722,4860
723,4860
724,4857
725,4850
726,4855
727,4849
728,4843
729,4838
730,4832
731,4826
732,4826
733,4816
734,4819
735,4814
736,4808
737,4805
738,4802
739,4785
740,4797
741,4783
742,4786
743,4781
744,4777
745,4783
746,4777
747,4776
748,4775
749,4777
750,4767
751,4759
752,4763
753,4756
754,4763
755,4753
756,4752
757,4745
758,4739
759,4739
760,4741
761,4737
762,4737
763,4736
764,4740
765,4719
766,4715
767,4719
768,4707
769,4706
770,4707
771,4699
772,4699
773,4705
774,4694
775,4703
776,4696
777,4680
778,4675
779,4674
780,4678
781,4679
782,4669
783,4670
784,4666
785,4669
786,4668
787,4662
788,4657
789,4652
790,4652
791,4640
792,4626
793,4634
794,4636
795,4633
796,4625
797,4621
798,4612
799,4616
800,4618
801,4612
802,4620
803,4614
804,4613
805,4607
806,4610
807,4605
808,4602
809,4596
810,4603
811,4603
812,4607
813,4594
814,4591
815,4590
816,4590
817,4589
818,4589
819,4588
820,4583
821,4581
822,4581
823,4577
824,4577
825,4571
826,4562
827,4560
828,4562
829,4564
830,4561
831,4551
832,4546
833,4550
834,4540
835,4537
836,4540
837,4531
838,4516
839,4511
840,4515
841,4512
842,4511
843,4498
844,4500
845,4505
846,4498
847,4500
848,4497
849,4496
850,4494
851,4479
852,4475
853,4476
854,4474
855,4470
856,4477
857,4472
858,4466
859,4465
860,4468
861,4457
862,4454
863,4456
864,4455
865,4448
866,4457
867,4450
868,4451
869,4449
870,4438
871,4445
872,4431
873,4442
874,4433
875,4432
876,4430
877,4437
878,4426
879,4430
880,4431
881,4432
882,4427
883,4423
884,4424
885,4418
886,4412
887,4417
888,4413
889,4413
890,4402
891,4410
892,4406
893,4407
894,4399
895,4390
896,4386
897,4388
898,4380
899,4378
900,4378
901,4376
902,4380
903,4376
904,4364
905,4369
906,4367
907,4358
908,4351
909,4350
910,4350
911,4355
912,4346
913,4345
914,4341
915,4335
916,4339
917,4327
918,4329
919,4323
920,4321
921,4327
922,4318
923,4322
924,4325
925,4318
926,4312
927,4313
928,4313
929,4306
930,4312
931,4307
932,4302
933,4297
934,4298
935,4298
936,4301
937,4284
938,4288
939,4291
940,4284
941,4284
942,4284
943,4283
944,4277
945,4285
946,4282
947,4276
948,4277
949,4267
950,4268
951,4275
952,4269
953,4265
954,4264
955,4261
956,4267
957,4262
958,4259
959,4261
960,4251
961,4249
962,4244
963,4249
964,4246
965,4248
966,4242
967,4238
968,4237
969,4240
970,4241
971,4235
972,4232
973,4235
974,4223
975,4221
976,4212
977,4217
978,4216
979,4208
980,4208
981,4206
982,4211
983,4196
984,4192
985,4194
986,4195
987,4190
988,4179
989,4185
990,4174
991,4170
992,4168
993,4173
994,4167
995,4171
996,4152
997,4153
998,4141
