,score
799,15
800,14
801,15
802,16
803,14
804,16
805,15
806,16
807,16
808,15
809,15
810,14
811,16
812,15
813,14
814,15
815,14
816,15
817,15
818,15
819,15
820,14
821,15
822,14
823,16
824,15
825,15
826,15
827,16
828,15
829,15
830,15
831,15
832,14
833,15
834,17
835,14
836,14
837,14
838,17
839,15
840,17
841,15
842,16
843,14
844,15
845,14
846,15
847,15
848,15
849,16
850,14
851,14
852,14
853,14
854,14
855,16
856,12
857,13
858,14
859,13
860,14
861,14
862,13
863,14
864,15
865,14
866,16
867,13
868,14
869,13
870,14
871,15
872,14
873,14
874,14
875,13
876,13
877,14
878,14
879,13
880,15
881,13
882,14
883,15
884,13
885,14
886,14
887,14
888,15
889,13
890,12
891,13
892,15
893,15
894,13
895,15
896,14
897,15
898,14
899,13
900,14
901,13
902,13
903,12
904,13
905,13
906,14
907,14
908,12
909,14
910,14
911,14
912,14
913,13
914,15
915,14
916,15
917,14
918,14
919,13
920,16
921,12
922,13
923,12
924,14
925,13
926,14
927,16
928,13
929,15
930,15
931,15
932,14
933,14
934,14
935,11
936,12
937,12
938,13
939,15
940,13
941,12
942,12
943,15
944,13
945,15
946,14
947,14
948,13
949,12
950,13
951,13
952,14
953,13
954,13
955,13
956,14
957,13
958,12
959,14
960,14
961,14
962,13
963,13
964,13
965,11
966,14
967,14
968,13
969,13
970,12
971,12
972,15
973,14
974,13
975,15
976,13
977,14
978,13
979,14
980,13
981,13
982,13
983,13
984,15
985,12
986,14
987,12
988,13
989,12
990,12
991,14
992,13
993,13
994,13
995,13
996,13
997,12
998,12
999,11
